timestep	lx	ly	lz	volume	hpmc_overlap_count
0	63	63	1	3969	0
10	63	63	1	3969	0
20	63	63	1	3969	0
30	63	63	1	3969	0
40	63	63	1	3969	0
50	63	63	1	3969	0
60	63	63	1	3969	0
70	63	63	1	3969	0
80	63	63	1	3969	0
90	63	63	1	3969	0
100	63	63	1	3969	0
110	63	63	1	3969	0
120	63	63	1	3969	0
130	63	63	1	3969	0
140	63	63	1	3969	0
150	63	63	1	3969	0
160	63	63	1	3969	0
170	63	63	1	3969	0
180	63	63	1	3969	0
190	63	63	1	3969	0
200	63	63	1	3969	0
210	63	63	1	3969	0
220	63	63	1	3969	0
230	63	63	1	3969	0
240	63	63	1	3969	0
250	63	63	1	3969	0
260	63	63	1	3969	0
270	63	63	1	3969	0
280	63	63	1	3969	0
290	63	63	1	3969	0
300	63	63	1	3969	0
310	63	63	1	3969	0
320	63	63	1	3969	0
330	63	63	1	3969	0
340	63	63	1	3969	0
350	63	63	1	3969	0
360	63	63	1	3969	0
370	63	63	1	3969	0
380	63	63	1	3969	0
390	63	63	1	3969	0
400	63	63	1	3969	0
410	63	63	1	3969	0
420	63	63	1	3969	0
430	63	63	1	3969	0
440	63	63	1	3969	0
450	63	63	1	3969	0
460	63	63	1	3969	0
470	63	63	1	3969	0
480	63	63	1	3969	0
490	63	63	1	3969	0
500	63	63	1	3969	0
510	63	63	1	3969	0
520	63	63	1	3969	0
530	63	63	1	3969	0
540	63	63	1	3969	0
550	63	63	1	3969	0
560	63	63	1	3969	0
570	63	63	1	3969	0
580	63	63	1	3969	0
590	63	63	1	3969	0
600	63	63	1	3969	0
610	63	63	1	3969	0
620	63	63	1	3969	0
630	63	63	1	3969	0
640	63	63	1	3969	0
650	63	63	1	3969	0
660	63	63	1	3969	0
670	63	63	1	3969	0
680	63	63	1	3969	0
690	63	63	1	3969	0
700	63	63	1	3969	0
710	63	63	1	3969	0
720	63	63	1	3969	0
730	63	63	1	3969	0
740	63	63	1	3969	0
750	63	63	1	3969	0
760	63	63	1	3969	0
770	63	63	1	3969	0
780	63	63	1	3969	0
790	63	63	1	3969	0
800	63	63	1	3969	0
810	63	63	1	3969	0
820	63	63	1	3969	0
830	63	63	1	3969	0
840	63	63	1	3969	0
850	63	63	1	3969	0
860	63	63	1	3969	0
870	63	63	1	3969	0
880	63	63	1	3969	0
890	63	63	1	3969	0
900	63	63	1	3969	0
910	63	63	1	3969	0
920	63	63	1	3969	0
930	63	63	1	3969	0
940	63	63	1	3969	0
950	63	63	1	3969	0
960	63	63	1	3969	0
970	63	63	1	3969	0
980	63	63	1	3969	0
990	63	63	1	3969	0
1000	63	63	1	3969	0
1010	63	63	1	3969	0
1020	63	63	1	3969	0
1030	63	63	1	3969	0
1040	63	63	1	3969	0
1050	63	63	1	3969	0
1060	63	63	1	3969	0
1070	63	63	1	3969	0
1080	63	63	1	3969	0
1090	63	63	1	3969	0
1100	63	63	1	3969	0
1110	63	63	1	3969	0
1120	63	63	1	3969	0
1130	63	63	1	3969	0
1140	63	63	1	3969	0
1150	63	63	1	3969	0
1160	63	63	1	3969	0
1170	63	63	1	3969	0
1180	63	63	1	3969	0
1190	63	63	1	3969	0
1200	63	63	1	3969	0
1210	63	63	1	3969	0
1220	63	63	1	3969	0
1230	63	63	1	3969	0
1240	63	63	1	3969	0
1250	63	63	1	3969	0
1260	63	63	1	3969	0
1270	63	63	1	3969	0
1280	63	63	1	3969	0
1290	63	63	1	3969	0
1300	63	63	1	3969	0
1310	63	63	1	3969	0
1320	63	63	1	3969	0
1330	63	63	1	3969	0
1340	63	63	1	3969	0
1350	63	63	1	3969	0
1360	63	63	1	3969	0
1370	63	63	1	3969	0
1380	63	63	1	3969	0
1390	63	63	1	3969	0
1400	63	63	1	3969	0
1410	63	63	1	3969	0
1420	63	63	1	3969	0
1430	63	63	1	3969	0
1440	63	63	1	3969	0
1450	63	63	1	3969	0
1460	63	63	1	3969	0
1470	63	63	1	3969	0
1480	63	63	1	3969	0
1490	63	63	1	3969	0
1500	63	63	1	3969	0
1510	63	63	1	3969	0
1520	63	63	1	3969	0
1530	63	63	1	3969	0
1540	63	63	1	3969	0
1550	63	63	1	3969	0
1560	63	63	1	3969	0
1570	63	63	1	3969	0
1580	63	63	1	3969	0
1590	63	63	1	3969	0
1600	63	63	1	3969	0
1610	63	63	1	3969	0
1620	63	63	1	3969	0
1630	63	63	1	3969	0
1640	63	63	1	3969	0
1650	63	63	1	3969	0
1660	63	63	1	3969	0
1670	63	63	1	3969	0
1680	63	63	1	3969	0
1690	63	63	1	3969	0
1700	63	63	1	3969	0
1710	63	63	1	3969	0
1720	63	63	1	3969	0
1730	63	63	1	3969	0
